Karyotype;Label;Average
3RK_HET_2;Wing_M_3RKHET2_7_1_MMStack_Pos0.ome.tif;0.7645
3RK_HET_2;Wing_M_3RKHET2_7_2_MMStack_Pos0.ome.tif;0.8355
3RK_HET_2;Wing_M_3RKHET2_9_1_MMStack_Pos0.ome.tif;0.753
3RK_HET_2;Wing_M_3RKHET2_9_2_MMStack_Pos0.ome.tif;0.729
3RK_HET_2;Wing_M_3RKHET2_12_1_MMStack_Pos0.ome.tif;0.7225
3RK_HET_2;Wing_M_3RKHET2_12_2_MMStack_Pos0.ome.tif;0.7795
3RK_HET_2;Wing_M_3RKHET2_13_1_MMStack_Pos0.ome.tif;0.756
3RK_HET_2;Wing_M_3RKHET2_13_2_MMStack_Pos0.ome.tif;0.82
3RK_HET_2;Wing_M_3RKHET2_14_1_MMStack_Pos0.ome.tif;0.7685
3RK_HET_2;Wing_M_3RKHET2_14_2_MMStack_Pos0.ome.tif;0.754
3RK_HET_2;Wing_M_3RKHET2_19_1_MMStack_Pos0.ome.tif;0.698
3RK_HET_2;Wing_M_3RKHET2_19_2_MMStack_Pos0.ome.tif;0.746
3RK_HET_2;Wing_M_3RKHET2_20_1_MMStack_Pos0.ome.tif;0.75
3RK_HET_2;Wing_M_3RKHET2_20_2_MMStack_Pos0.ome.tif;0.752
3RP;Wing_M_3RP_1_1_MMStack_Pos0.ome.tif;0.804
3RP;Wing_M_3RP_1_2_MMStack_Pos0.ome.tif;0.7195
3RP;Wing_M_3RP_2_1_MMStack_Pos0.ome.tif;0.791
3RP;Wing_M_3RP_2_2_MMStack_Pos0.ome.tif;0.7205
3RP;Wing_M_3RP_3_1_MMStack_Pos0.ome.tif;0.7245
3RP;Wing_M_3RP_3_2_MMStack_Pos0.ome.tif;0.7035
3RP;Wing_M_3RP_4_1_MMStack_Pos0.ome.tif;0.7615
3RP;Wing_M_3RP_4_2_MMStack_Pos0.ome.tif;0.7655
3RP;Wing_M_3RP_7_1_MMStack_Pos0.ome.tif;0.7715
3RP;Wing_M_3RP_7_2_MMStack_Pos0.ome.tif;0.7475
3RP;Wing_M_3RP_9_1_MMStack_Pos0.ome.tif;0.754
3RP;Wing_M_3RP_9_2_MMStack_Pos0.ome.tif;0.775
3RP;Wing_M_3RP_12_1_MMStack_Pos0.ome.tif;0.8225
3RP;Wing_M_3RP_12_2_MMStack_Pos0.ome.tif;0.737
3RP;Wing_M_3RP_13_1_MMStack_Pos0.ome.tif;0.8115
3RP;Wing_M_3RP_13_2_MMStack_Pos0.ome.tif;0.7565
3RP;Wing_M_3RP_14_1_MMStack_Pos0.ome.tif;0.795
3RP;Wing_M_3RP_14_2_MMStack_Pos0.ome.tif;0.76
3RP;Wing_M_3RP_19_1_MMStack_Pos0.ome.tif;0.784
3RP;Wing_M_3RP_19_2_MMStack_Pos0.ome.tif;0.7815
3RP;Wing_M_3RP_20_1_MMStack_Pos0.ome.tif;0.7935
3RP;Wing_M_3RP_20_2_MMStack_Pos0.ome.tif;0.791
3RP_HET_1;Wing_M_3RPHET1_1_1_MMStack_Pos0.ome.tif;0.786
3RP_HET_1;Wing_M_3RPHET1_1_2_MMStack_Pos0.ome.tif;0.6865
3RP_HET_1;Wing_M_3RPHET1_2_1_MMStack_Pos0.ome.tif;0.738
3RP_HET_1;Wing_M_3RPHET1_2_2_MMStack_Pos0.ome.tif;0.733
3RP_HET_1;Wing_M_3RPHET1_3_1_MMStack_Pos0.ome.tif;0.755
3RP_HET_1;Wing_M_3RPHET1_3_2_MMStack_Pos0.ome.tif;0.698
3RP_HET_1;Wing_M_3RPHET1_4_1_MMStack_Pos0.ome.tif;0.7575
3RP_HET_1;Wing_M_3RPHET1_4_2_MMStack_Pos0.ome.tif;0.7465
3RP_HET_1;Wing_M_3RPHET1_7_1_MMStack_Pos0.ome.tif;0.798
3RP_HET_1;Wing_M_3RPHET1_7_2_MMStack_Pos0.ome.tif;0.7895
3RP_HET_1;Wing_M_3RPHET1_9_1_MMStack_Pos0.ome.tif;0.719
3RP_HET_1;Wing_M_3RPHET1_9_2_MMStack_Pos0.ome.tif;0.7175
3RP_HET_1;Wing_M_3RPHET1_12_1_MMStack_Pos0.ome.tif;0.691
3RP_HET_1;Wing_M_3RPHET1_12_2_MMStack_Pos0.ome.tif;0.765
3RP_HET_1;Wing_M_3RPHET1_13_1_MMStack_Pos0.ome.tif;0.7995
3RP_HET_1;Wing_M_3RPHET1_13_2_MMStack_Pos0.ome.tif;0.724
3RP_HET_1;Wing_M_3RPHET1_14_1_MMStack_Pos0.ome.tif;0.7725
3RP_HET_1;Wing_M_3RPHET1_14_2_MMStack_Pos0.ome.tif;0.7605
3RP_HET_1;Wing_M_3RPHET1_19_1_MMStack_Pos0.ome.tif;0.81
3RP_HET_1;Wing_M_3RPHET1_19_2_MMStack_Pos0.ome.tif;0.7115
3RP_HET_1;Wing_M_3RPHET1_20_1_MMStack_Pos0.ome.tif;0.785
3RP_HET_1;Wing_M_3RPHET1_20_2_MMStack_Pos0.ome.tif;0.803
3RP_HET_2;Wing_M_3RPHET2_1_1_MMStack_Pos0.ome.tif;0.718
3RP_HET_2;Wing_M_3RPHET2_1_2_MMStack_Pos0.ome.tif;0.8065
3RP_HET_2;Wing_M_3RPHET2_2_1_MMStack_Pos0.ome.tif;0.767
3RP_HET_2;Wing_M_3RPHET2_2_2_MMStack_Pos0.ome.tif;0.7225
3RP_HET_2;Wing_M_3RPHET2_3_1_MMStack_Pos0.ome.tif;0.826
3RP_HET_2;Wing_M_3RPHET2_3_2_MMStack_Pos0.ome.tif;0.7775
3RP_HET_2;Wing_M_3RPHET2_4_1_MMStack_Pos0.ome.tif;0.7095
3RP_HET_2;Wing_M_3RPHET2_4_2_MMStack_Pos0.ome.tif;0.768
3RP_HET_2;Wing_M_3RPHET2_7_1_MMStack_Pos0.ome.tif;0.745
3RP_HET_2;Wing_M_3RPHET2_7_2_MMStack_Pos0.ome.tif;0.7715
3RP_HET_2;Wing_M_3RPHET2_9_1_MMStack_Pos0.ome.tif;0.7315
3RP_HET_2;Wing_M_3RPHET2_9_2_MMStack_Pos0.ome.tif;0.7925
3RP_HET_2;Wing_M_3RPHET2_12_1_MMStack_Pos0.ome.tif;0.7995
3RP_HET_2;Wing_M_3RPHET2_12_2_MMStack_Pos0.ome.tif;0.724
3RP_HET_2;Wing_M_3RPHET2_13_1_MMStack_Pos0.ome.tif;0.8105
3RP_HET_2;Wing_M_3RPHET2_13_2_MMStack_Pos0.ome.tif;0.768
3RP_HET_2;Wing_M_3RPHET2_14_1_MMStack_Pos0.ome.tif;0.732
3RP_HET_2;Wing_M_3RPHET2_14_2_MMStack_Pos0.ome.tif;0.7585
3RP_HET_2;Wing_M_3RPHET2_19_1_MMStack_Pos0.ome.tif;0.7855
3RP_HET_2;Wing_M_3RPHET2_19_2_MMStack_Pos0.ome.tif;0.8055
3RP_HET_2;Wing_M_3RPHET2_20_1_MMStack_Pos0.ome.tif;0.752
3RP_HET_2;Wing_M_3RPHET2_20_2_MMStack_Pos0.ome.tif;0.7105
STD;Wing_M_STD_1_1_MMStack_Pos0.ome.tif;0.7695
STD;Wing_M_STD_1_2_MMStack_Pos0.ome.tif;0.745
STD;Wing_M_STD_2_1_MMStack_Pos0.ome.tif;0.6895
STD;Wing_M_STD_2_2_MMStack_Pos0.ome.tif;0.716
STD;Wing_M_STD_3_1_MMStack_Pos0.ome.tif;0.7325
STD;Wing_M_STD_3_2_MMStack_Pos0.ome.tif;0.7405
STD;Wing_M_STD_4_1_MMStack_Pos0.ome.tif;0.722
STD;Wing_M_STD_4_2_MMStack_Pos0.ome.tif;0.7685
STD;Wing_M_STD_7_1_MMStack_Pos0.ome.tif;0.7865
STD;Wing_M_STD_7_2_MMStack_Pos0.ome.tif;0.722
STD;Wing_M_STD_9_1_MMStack_Pos0.ome.tif;0.765
STD;Wing_M_STD_9_2_MMStack_Pos0.ome.tif;0.732
STD;Wing_M_STD_12_1_MMStack_Pos0.ome.tif;0.7515
STD;Wing_M_STD_12_2_MMStack_Pos0.ome.tif;0.7315
STD;Wing_M_STD_13_1_MMStack_Pos0.ome.tif;0.7015
STD;Wing_M_STD_13_2_MMStack_Pos0.ome.tif;0.693
STD;Wing_M_STD_14_1_MMStack_Pos0.ome.tif;0.787
STD;Wing_M_STD_14_2_MMStack_Pos0.ome.tif;0.7695
STD;Wing_M_STD_19_1_MMStack_Pos0.ome.tif;0.823
STD;Wing_M_STD_19_2_MMStack_Pos0.ome.tif;0.7645
STD;Wing_M_STD_20_1_MMStack_Pos0.ome.tif;0.78
STD;Wing_M_STD_20_2_MMStack_Pos0.ome.tif;0.791
