Karyotype;Label;Average
3RK_HET_2;Leg_M_3RKHET2_2_1_MMStack_Pos0.ome.tif;0.523
3RK_HET_2;Leg_M_3RKHET2_2_2_MMStack_Pos0.ome.tif;0.5205
3RK_HET_2;Leg_M_3RKHET2_3_1_MMStack_Pos0.ome.tif;0.524
3RK_HET_2;Leg_M_3RKHET2_3_2_MMStack_Pos0.ome.tif;0.5315
3RK_HET_2;Leg_M_3RKHET2_4_1_MMStack_Pos0.ome.tif;0.538
3RK_HET_2;Leg_M_3RKHET2_4_2_MMStack_Pos0.ome.tif;0.533
3RK_HET_2;Leg_M_3RKHET2_7_1_MMStack_Pos0.ome.tif;0.5445
3RK_HET_2;Leg_M_3RKHET2_9_1_MMStack_Pos0.ome.tif;0.533
3RK_HET_2;Leg_M_3RKHET2_9_2_MMStack_Pos0.ome.tif;0.524
3RK_HET_2;Leg_M_3RKHET2_12_1_MMStack_Pos0.ome.tif;0.544
3RK_HET_2;Leg_M_3RKHET2_12_2_MMStack_Pos0.ome.tif;0.553
3RK_HET_2;Leg_M_3RKHET2_13_1_MMStack_Pos0.ome.tif;0.533
3RK_HET_2;Leg_M_3RKHET2_13_2_MMStack_Pos0.ome.tif;0.5395
3RK_HET_2;Leg_M_3RKHET2_14_1_MMStack_Pos0.ome.tif;0.55
3RK_HET_2;Leg_M_3RKHET2_14_2_MMStack_Pos0.ome.tif;0.542
3RK_HET_2;Leg_M_3RKHET2_19_1_MMStack_Pos0.ome.tif;0.552
3RK_HET_2;Leg_M_3RKHET2_19_2_MMStack_Pos0.ome.tif;0.5375
3RK_HET_2;Leg_M_3RKHET2_20_1_MMStack_Pos0.ome.tif;0.523
3RK_HET_2;Leg_M_3RKHET2_20_2_MMStack_Pos0.ome.tif;0.531
3RP;Leg_M_3RP_1_1_MMStack_Pos0.ome.tif;0.538
3RP;Leg_M_3RP_1_2_MMStack_Pos0.ome.tif;0.5225
3RP;Leg_M_3RP_2_1_MMStack_Pos0.ome.tif;0.5345
3RP;Leg_M_3RP_2_2_MMStack_Pos0.ome.tif;0.53
3RP;Leg_M_3RP_3_1_MMStack_Pos0.ome.tif;0.5235
3RP;Leg_M_3RP_3_2_MMStack_Pos0.ome.tif;0.5265
3RP;Leg_M_3RP_4_1_MMStack_Pos0.ome.tif;0.5345
3RP;Leg_M_3RP_4_2_MMStack_Pos0.ome.tif;0.5345
3RP;Leg_M_3RP_7_2_MMStack_Pos0.ome.tif;0.5185
3RP;Leg_M_3RP_9_1_MMStack_Pos0.ome.tif;0.531
3RP;Leg_M_3RP_9_2_MMStack_Pos0.ome.tif;0.5395
3RP;Leg_M_3RP_12_1_MMStack_Pos0.ome.tif;0.555
3RP;Leg_M_3RP_12_2_MMStack_Pos0.ome.tif;0.529
3RP;Leg_M_3RP_13_1_MMStack_Pos0.ome.tif;0.532
3RP;Leg_M_3RP_13_2_MMStack_Pos0.ome.tif;0.5305
3RP;Leg_M_3RP_14_1_MMStack_Pos0.ome.tif;0.5365
3RP;Leg_M_3RP_14_2_MMStack_Pos0.ome.tif;0.547
3RP;Leg_M_3RP_19_1_MMStack_Pos0.ome.tif;0.5325
3RP;Leg_M_3RP_19_2_MMStack_Pos0.ome.tif;0.521
3RP;Leg_M_3RP_20_1_MMStack_Pos0.ome.tif;0.525
3RP;Leg_M_3RP_20_2_MMStack_Pos0.ome.tif;0.538
3RP_HET_1;Leg_M_3RPHET1_1_1_MMStack_Pos0.ome.tif;0.54
3RP_HET_1;Leg_M_3RPHET1_1_2_MMStack_Pos0.ome.tif;0.5395
3RP_HET_1;Leg_M_3RPHET1_2_1_MMStack_Pos0.ome.tif;0.542
3RP_HET_1;Leg_M_3RPHET1_2_2_MMStack_Pos0.ome.tif;0.535
3RP_HET_1;Leg_M_3RPHET1_3_1_MMStack_Pos0.ome.tif;0.5465
3RP_HET_1;Leg_M_3RPHET1_3_2_MMStack_Pos0.ome.tif;0.5335
3RP_HET_1;Leg_M_3RPHET1_4_1_MMStack_Pos0.ome.tif;0.532
3RP_HET_1;Leg_M_3RPHET1_4_2_MMStack_Pos0.ome.tif;0.55
3RP_HET_1;Leg_M_3RPHET1_7_1_MMStack_Pos0.ome.tif;0.545
3RP_HET_1;Leg_M_3RPHET1_7_2_MMStack_Pos0.ome.tif;0.5605
3RP_HET_1;Leg_M_3RPHET1_9_1_MMStack_Pos0.ome.tif;0.5225
3RP_HET_1;Leg_M_3RPHET1_9_2_MMStack_Pos0.ome.tif;0.5235
3RP_HET_1;Leg_M_3RPHET1_12_1_MMStack_Pos0.ome.tif;0.5285
3RP_HET_1;Leg_M_3RPHET1_12_2_MMStack_Pos0.ome.tif;0.536
3RP_HET_1;Leg_M_3RPHET1_13_1_MMStack_Pos0.ome.tif;0.533
3RP_HET_1;Leg_M_3RPHET1_13_2_MMStack_Pos0.ome.tif;0.5235
3RP_HET_1;Leg_M_3RPHET1_14_1_MMStack_Pos0.ome.tif;0.541
3RP_HET_1;Leg_M_3RPHET1_14_2_MMStack_Pos0.ome.tif;0.565
3RP_HET_1;Leg_M_3RPHET1_19_1_MMStack_Pos0.ome.tif;0.5565
3RP_HET_1;Leg_M_3RPHET1_19_2_MMStack_Pos0.ome.tif;0.5115
3RP_HET_1;Leg_M_3RPHET1_20_1_MMStack_Pos0.ome.tif;0.557
3RP_HET_1;Leg_M_3RPHET1_20_2_MMStack_Pos0.ome.tif;0.543
3RP_HET_2;Leg_M_3RPHET2_1_1_MMStack_Pos0.ome.tif;0.5385
3RP_HET_2;Leg_M_3RPHET2_1_2_MMStack_Pos0.ome.tif;0.5455
3RP_HET_2;Leg_M_3RPHET2_2_1_MMStack_Pos0.ome.tif;0.54
3RP_HET_2;Leg_M_3RPHET2_2_2_MMStack_Pos0.ome.tif;0.54
3RP_HET_2;Leg_M_3RPHET2_3_1_MMStack_Pos0.ome.tif;0.544
3RP_HET_2;Leg_M_3RPHET2_3_2_MMStack_Pos0.ome.tif;0.541
3RP_HET_2;Leg_M_3RPHET2_4_1_MMStack_Pos0.ome.tif;0.5145
3RP_HET_2;Leg_M_3RPHET2_4_2_MMStack_Pos0.ome.tif;0.533
3RP_HET_2;Leg_M_3RPHET2_7_1_MMStack_Pos0.ome.tif;0.5345
3RP_HET_2;Leg_M_3RPHET2_7_2_MMStack_Pos0.ome.tif;0.529
3RP_HET_2;Leg_M_3RPHET2_9_1_MMStack_Pos0.ome.tif;0.5355
3RP_HET_2;Leg_M_3RPHET2_9_2_MMStack_Pos0.ome.tif;0.533
3RP_HET_2;Leg_M_3RPHET2_12_1_MMStack_Pos0.ome.tif;0.535
3RP_HET_2;Leg_M_3RPHET2_12_2_MMStack_Pos0.ome.tif;0.5355
3RP_HET_2;Leg_M_3RPHET2_13_1_MMStack_Pos0.ome.tif;0.5205
3RP_HET_2;Leg_M_3RPHET2_13_2_MMStack_Pos0.ome.tif;0.5545
3RP_HET_2;Leg_M_3RPHET2_14_1_MMStack_Pos0.ome.tif;0.5205
3RP_HET_2;Leg_M_3RPHET2_14_2_MMStack_Pos0.ome.tif;0.5295
3RP_HET_2;Leg_M_3RPHET2_19_1_MMStack_Pos0.ome.tif;0.5285
3RP_HET_2;Leg_M_3RPHET2_19_2_MMStack_Pos0.ome.tif;0.559
3RP_HET_2;Leg_M_3RPHET2_20_1_MMStack_Pos0.ome.tif;0.537
3RP_HET_2;Leg_M_3RPHET2_20_2_MMStack_Pos0.ome.tif;0.5245
STD;Leg_M_STD_1_1_MMStack_Pos0.ome.tif;0.5365
STD;Leg_M_STD_1_2_MMStack_Pos0.ome.tif;0.5245
STD;Leg_M_STD_2_1_MMStack_Pos0.ome.tif;0.547
STD;Leg_M_STD_2_2_MMStack_Pos0.ome.tif;0.5505
STD;Leg_M_STD_3_1_MMStack_Pos0.ome.tif;0.553
STD;Leg_M_STD_3_2_MMStack_Pos0.ome.tif;0.54
STD;Leg_M_STD_4_1_MMStack_Pos0.ome.tif;0.56
STD;Leg_M_STD_4_2_MMStack_Pos0.ome.tif;0.5495
STD;Leg_M_STD_7_1_MMStack_Pos0.ome.tif;0.561
STD;Leg_M_STD_7_2_MMStack_Pos0.ome.tif;0.5345
STD;Leg_M_STD_9_1_MMStack_Pos0.ome.tif;0.5495
STD;Leg_M_STD_9_2_MMStack_Pos0.ome.tif;0.5275
STD;Leg_M_STD_12_1_MMStack_Pos0.ome.tif;0.5555
STD;Leg_M_STD_12_2_MMStack_Pos0.ome.tif;0.555
STD;Leg_M_STD_13_1_MMStack_Pos0.ome.tif;0.531
STD;Leg_M_STD_13_2_MMStack_Pos0.ome.tif;0.5335
STD;Leg_M_STD_14_1_MMStack_Pos0.ome.tif;0.551
STD;Leg_M_STD_14_2_MMStack_Pos0.ome.tif;0.548
STD;Leg_M_STD_19_1_MMStack_Pos0.ome.tif;0.5535
STD;Leg_M_STD_19_2_MMStack_Pos0.ome.tif;0.542
STD;Leg_M_STD_20_1_MMStack_Pos0.ome.tif;0.5635
STD;Leg_M_STD_20_2_MMStack_Pos0.ome.tif;0.52
